GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
LodeLMmvn,activities,Client,778,160,73,23,221,33,42,14,3,5
LodeLMmvn,activities,ClientHandler,1175,406,104,14,265,77,59,11,4,7
LodeLMmvn,activities,Server,179,308,4,12,53,71,6,15,3,10
LodeLMmvn,utils,EncryptedCom,3,126,0,0,1,35,1,5,1,5
LodeLMmvn,utils,FileHandler,247,635,46,42,73,142,37,24,3,14
LodeLMmvn,utils,MACUtils,13,44,0,0,7,11,1,3,1,3
LodeLMmvn,utils,SimpleMailSender,30,42,0,2,13,10,2,4,2,3
LodeLMmvn,utils,IdleTimeoutManager,84,0,6,0,21,0,8,0,5,0
LodeLMmvn,utils,IdleTimeoutManager.new TimerTask() {...},10,0,0,0,3,0,2,0,2,0
LodeLMmvn,utils,FileEncryption,0,182,0,0,0,48,0,10,0,10
LodeLMmvn,com.security,App,7,0,0,0,3,0,2,0,2,0
